PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,C,Ed Davis (12011217),Ed Davis,12011217,C/UTIL,4000,BKN@BOS 01/28/2019 07:30PM ET,BKN,19.38
,,,,,,,,,SF/PF,Rodions Kurucs (12011219),Rodions Kurucs,12011219,SF/PF/F/UTIL,4000,BKN@BOS 01/28/2019 07:30PM ET,BKN,16.66
,,,,,,,,,SF/PF,Michael Kidd-Gilchrist (12011227),Michael Kidd-Gilchrist,12011227,SF/PF/F/UTIL,3900,NY@CHA 01/28/2019 07:00PM ET,CHA,17.65
,,,,,,,,,C,Guillermo Hernangomez (12011231),Guillermo Hernangomez,12011231,C/UTIL,3900,NY@CHA 01/28/2019 07:00PM ET,CHA,17.26
,,,,,,,,,PF/C,Kevon Looney (12011233),Kevon Looney,12011233,PF/C/F/UTIL,3900,GS@IND 01/28/2019 07:00PM ET,GS,19.35
,,,,,,,,,SF/PF,Trey Lyles (12011223),Trey Lyles,12011223,SF/PF/F/UTIL,3900,DEN@MEM 01/28/2019 08:00PM ET,DEN,18.64
,,,,,,,,,PF/C,Mason Plumlee (12011237),Mason Plumlee,12011237,PF/C/F/UTIL,3900,DEN@MEM 01/28/2019 08:00PM ET,DEN,21.96
,,,,,,,,,SG/SF,Andre Iguodala (12011250),Andre Iguodala,12011250,SG/SF/F/G/UTIL,3800,GS@IND 01/28/2019 07:00PM ET,GS,18.24
,,,,,,,,,PG/SG,Shai Gilgeous-Alexander (12011246),Shai Gilgeous-Alexander,12011246,PG/SG/G/UTIL,3800,ATL@LAC 01/28/2019 10:30PM ET,LAC,20.08
,,,,,,,,,SG/SF,Garrett Temple (12011241),Garrett Temple,12011241,SG/SF/F/G/UTIL,3800,DEN@MEM 01/28/2019 08:00PM ET,MEM,18.70
,,,,,,,,,SG,Avery Bradley (12011259),Avery Bradley,12011259,SG/G/UTIL,3700,ATL@LAC 01/28/2019 10:30PM ET,LAC,16.26
,,,,,,,,,PF/C,Rondae Hollis-Jefferson (12011255),Rondae Hollis-Jefferson,12011255,PF/C/F/UTIL,3700,BKN@BOS 01/28/2019 07:30PM ET,BKN,20.96
,,,,,,,,,SF/PF,Miles Bridges (12011262),Miles Bridges,12011262,SF/PF/F/UTIL,3600,NY@CHA 01/28/2019 07:00PM ET,CHA,14.85
,,,,,,,,,PG,Tony Parker (12011270),Tony Parker,12011270,PG/G/UTIL,3600,NY@CHA 01/28/2019 07:00PM ET,CHA,17.86
,,,,,,,,,SG/SF,Damyean Dotson (12011273),Damyean Dotson,12011273,SG/SF/F/G/UTIL,3600,NY@CHA 01/28/2019 07:00PM ET,NY,18.40
,,,,,,,,,PG/SG,Shelvin Mack (12011266),Shelvin Mack,12011266,PG/SG/G/UTIL,3600,DEN@MEM 01/28/2019 08:00PM ET,MEM,17.28
,,,,,,,,,SF/PF,Mario Hezonja (12011278),Mario Hezonja,12011278,SF/PF/F/UTIL,3500,NY@CHA 01/28/2019 07:00PM ET,NY,15.21
,,,,,,,,,SF/PF,Treveon Graham (12011282),Treveon Graham,12011282,SF/PF/F/UTIL,3500,BKN@BOS 01/28/2019 07:30PM ET,BKN,11.25
,,,,,,,,,C,Aron Baynes (12011286),Aron Baynes,12011286,C/UTIL,3500,BKN@BOS 01/28/2019 07:30PM ET,BOS,13.85
,,,,,,,,,PF/C,Omari Spellman (12011300),Omari Spellman,12011300,PF/C/F/UTIL,3400,ATL@LAC 01/28/2019 10:30PM ET,ATL,15.15
,,,,,,,,,SF/PF,Juancho Hernangomez (12011288),Juancho Hernangomez,12011288,SF/PF/F/UTIL,3400,DEN@MEM 01/28/2019 08:00PM ET,DEN,18.12
,,,,,,,,,SF/PF,Bruno Caboclo (12011292),Bruno Caboclo,12011292,SF/PF/F/UTIL,3400,DEN@MEM 01/28/2019 08:00PM ET,MEM,15.12
,,,,,,,,,SF/PF,Omri Casspi (12011296),Omri Casspi,12011296,SF/PF/F/UTIL,3400,DEN@MEM 01/28/2019 08:00PM ET,MEM,12.85
,,,,,,,,,PG/SG,Malik Monk (12011327),Malik Monk,12011327,PG/SG/G/UTIL,3300,NY@CHA 01/28/2019 07:00PM ET,CHA,16.59
,,,,,,,,,SF/PF,Jonas Jerebko (12011304),Jonas Jerebko,12011304,SF/PF/F/UTIL,3300,GS@IND 01/28/2019 07:00PM ET,GS,16.83
,,,,,,,,,PG/SG,Aaron Holiday (12011331),Aaron Holiday,12011331,PG/SG/G/UTIL,3300,GS@IND 01/28/2019 07:00PM ET,IND,10.61
,,,,,,,,,SG/SF,Tyrone Wallace (12011308),Tyrone Wallace,12011308,SG/SF/F/G/UTIL,3300,ATL@LAC 01/28/2019 10:30PM ET,LAC,8.45
,,,,,,,,,PF/C,Johnathan Motley (12011317),Johnathan Motley,12011317,PF/C/F/UTIL,3300,ATL@LAC 01/28/2019 10:30PM ET,LAC,10
,,,,,,,,,C,Marcin Gortat (12011325),Marcin Gortat,12011325,C/UTIL,3300,ATL@LAC 01/28/2019 10:30PM ET,LAC,15.22
,,,,,,,,,PG/SG,Jevon Carter (12011321),Jevon Carter,12011321,PG/SG/G/UTIL,3300,DEN@MEM 01/28/2019 08:00PM ET,MEM,8.93
,,,,,,,,,PF/C,Daniel Theis (12011313),Daniel Theis,12011313,PF/C/F/UTIL,3300,BKN@BOS 01/28/2019 07:30PM ET,BOS,14.60
,,,,,,,,,PG/SG,Devonte' Graham (12011340),Devonte' Graham,12011340,PG/SG/G/UTIL,3200,NY@CHA 01/28/2019 07:00PM ET,CHA,10.05
,,,,,,,,,SF/PF,Lance Thomas (12011351),Lance Thomas,12011351,SF/PF/F/UTIL,3200,NY@CHA 01/28/2019 07:00PM ET,NY,9.25
,,,,,,,,,SF/PF,Alfonzo McKinnie (12011344),Alfonzo McKinnie,12011344,SF/PF/F/UTIL,3200,GS@IND 01/28/2019 07:00PM ET,GS,11.48
,,,,,,,,,SF/PF,Doug McDermott (12011355),Doug McDermott,12011355,SF/PF/F/UTIL,3200,GS@IND 01/28/2019 07:00PM ET,IND,10.53
,,,,,,,,,SG/SF,Daniel Hamilton (12011335),Daniel Hamilton,12011335,SG/SF/F/G/UTIL,3200,ATL@LAC 01/28/2019 10:30PM ET,ATL,9.78
,,,,,,,,,SG,Jerome Robinson (12011348),Jerome Robinson,12011348,SG/G/UTIL,3200,ATL@LAC 01/28/2019 10:30PM ET,LAC,6.12
,,,,,,,,,C,Joakim Noah (12011359),Joakim Noah,12011359,C/UTIL,3200,DEN@MEM 01/28/2019 08:00PM ET,MEM,12.41
,,,,,,,,,SG/SF,Courtney Lee (12011368),Courtney Lee,12011368,SG/SF/F/G/UTIL,3100,NY@CHA 01/28/2019 07:00PM ET,NY,11.15
,,,,,,,,,SF/PF,TJ Leaf (12011373),TJ Leaf,12011373,SF/PF/F/UTIL,3100,GS@IND 01/28/2019 07:00PM ET,IND,6.25
,,,,,,,,,PF/C,Kyle O'Quinn (12011377),Kyle O'Quinn,12011377,PF/C/F/UTIL,3100,GS@IND 01/28/2019 07:00PM ET,IND,9.15
,,,,,,,,,PG,Quinn Cook (12011381),Quinn Cook,12011381,PG/G/UTIL,3100,GS@IND 01/28/2019 07:00PM ET,GS,14.64
,,,,,,,,,PG,Milos Teodosic (12011365),Milos Teodosic,12011365,PG/G/UTIL,3100,ATL@LAC 01/28/2019 10:30PM ET,LAC,7.9
,,,,,,,,,SG,Vince Carter (12011394),Vince Carter,12011394,SG/G/UTIL,3100,ATL@LAC 01/28/2019 10:30PM ET,ATL,13.94
,,,,,,,,,PF/C,Ivan Rabb (12011384),Ivan Rabb,12011384,PF/C/F/UTIL,3100,DEN@MEM 01/28/2019 08:00PM ET,MEM,7.5
,,,,,,,,,PG/SG,Brad Wanamaker (12011361),Brad Wanamaker,12011361,PG/SG/G/UTIL,3100,BKN@BOS 01/28/2019 07:30PM ET,BOS,8.05
,,,,,,,,,C,Alan Williams (12011388),Alan Williams,12011388,C/UTIL,3100,BKN@BOS 01/28/2019 07:30PM ET,BKN,20.5
,,,,,,,,,PF/C,Robert Williams (12011390),Robert Williams,12011390,PF/C/F/UTIL,3100,BKN@BOS 01/28/2019 07:30PM ET,BOS,10.51
